,easting,northing,xprev,yprev,xprevprev,yprevprev,JUL
1601,473082.00,7637138.67,475508.42,7637008.93,476259.31,7637432.31,144
1602,466446.57,7635513.46,473082.00,7637138.67,475508.42,7637008.93,145
1603,464138.84,7634602.78,466446.57,7635513.46,473082.00,7637138.67,146
1604,465380.54,7637817.72,464138.84,7634602.78,466446.57,7635513.46,147
1605,468333.79,7640294.41,465380.54,7637817.72,464138.84,7634602.78,148
1606,463154.51,7643174.30,468333.79,7640294.41,465380.54,7637817.72,149
1607,460673.33,7645610.32,463154.51,7643174.30,468333.79,7640294.41,150
1608,458666.88,7645319.45,460673.33,7645610.32,463154.51,7643174.30,151
1609,464047.98,7640592.61,458666.88,7645319.45,460673.33,7645610.32,152
1610,469724.59,7636919.44,464047.98,7640592.61,458666.88,7645319.45,153
1611,467891.28,7635769.40,469724.59,7636919.44,464047.98,7640592.61,154
1612,463974.83,7639511.13,467891.28,7635769.40,469724.59,7636919.44,155
1613,464712.32,7640102.65,463974.83,7639511.13,467891.28,7635769.40,156
1614,465984.29,7638594.85,464712.32,7640102.65,463974.83,7639511.13,157
1615,463875.44,7638363.45,465984.29,7638594.85,464712.32,7640102.65,158
1616,460972.13,7640930.82,463875.44,7638363.45,465984.29,7638594.85,159
1617,461022.01,7641608.75,460972.13,7640930.82,463875.44,7638363.45,160
1618,455812.64,7648273.07,461022.01,7641608.75,460972.13,7640930.82,161
1619,455938.99,7657555.71,455812.64,7648273.07,461022.01,7641608.75,162
1620,453277.43,7663249.73,455938.99,7657555.71,455812.64,7648273.07,163
1621,446718.70,7666725.07,453277.43,7663249.73,455938.99,7657555.71,164
1622,447071.06,7674776.20,446718.70,7666725.07,453277.43,7663249.73,165
1623,450388.57,7671331.87,447071.06,7674776.20,446718.70,7666725.07,166
1624,452533.84,7669414.06,450388.57,7671331.87,447071.06,7674776.20,167
1625,453106.53,7667303.76,452533.84,7669414.06,450388.57,7671331.87,168
1626,451173.81,7671895.35,453106.53,7667303.76,452533.84,7669414.06,169
1627,453776.71,7674269.91,451173.81,7671895.35,453106.53,7667303.76,170
1628,447459.80,7678551.43,453776.71,7674269.91,451173.81,7671895.35,171
1629,452885.63,7682772.75,447459.80,7678551.43,453776.71,7674269.91,172
1630,441114.65,7693013.85,452885.63,7682772.75,447459.80,7678551.43,173
1631,430558.49,7709221.15,441114.65,7693013.85,452885.63,7682772.75,174
1632,432236.13,7718365.81,430558.49,7709221.15,441114.65,7693013.85,175
1633,442411.12,7719479.66,432236.13,7718365.81,430558.49,7709221.15,176
1634,462670.76,7712380.86,442411.12,7719479.66,432236.13,7718365.81,177
1635,480537.65,7692770.90,462670.76,7712380.86,442411.12,7719479.66,178
1636,492644.97,7689641.57,480537.65,7692770.90,462670.76,7712380.86,179
1637,497676.17,7685020.54,492644.97,7689641.57,480537.65,7692770.90,180
1638,507915.38,7679922.20,497676.17,7685020.54,492644.97,7689641.57,181
1639,510105.00,7688523.72,507915.38,7679922.20,497676.17,7685020.54,182
1640,491075.79,7709597.13,510105.00,7688523.72,507915.38,7679922.20,183
1641,484187.16,7717826.86,491075.79,7709597.13,510105.00,7688523.72,184
1642,474532.70,7725595.71,484187.16,7717826.86,491075.79,7709597.13,185
1643,487095.16,7718286.34,474532.70,7725595.71,484187.16,7717826.86,186
1644,487095.16,7718286.34,487095.16,7718286.34,474532.70,7725595.71,186
1646,504344.21,7667487.31,504344.21,7667487.31,487095.16,7718286.34,187
1648,526591.46,7625300.00,526591.46,7625300.00,504344.21,7667487.31,188
1650,542453.05,7602283.07,542453.05,7602283.07,526591.46,7625300.00,189
1652,547494.85,7606551.46,547494.85,7606551.46,542453.05,7602283.07,190
1654,513376.62,7610005.09,515207.06,7614666.16,547494.85,7606551.46,192
1655,510442.76,7605420.10,513376.62,7610005.09,515207.06,7614666.16,193
1656,516068.05,7597268.60,510442.76,7605420.10,513376.62,7610005.09,194
1657,525578.24,7598428.27,516068.05,7597268.60,510442.76,7605420.10,195
1658,517620.15,7611133.90,525578.24,7598428.27,516068.05,7597268.60,196
1659,487011.96,7618542.37,517620.15,7611133.90,525578.24,7598428.27,197
1660,463839.87,7595589.98,487011.96,7618542.37,517620.15,7611133.90,198
1661,432156.17,7576058.04,463839.87,7595589.98,487011.96,7618542.37,199
1662,413475.11,7558802.70,432156.17,7576058.04,463839.87,7595589.98,200
1663,393649.94,7566644.98,413475.11,7558802.70,432156.17,7576058.04,201
1664,365519.97,7576576.38,393649.94,7566644.98,413475.11,7558802.70,202
1665,353296.87,7577242.92,365519.97,7576576.38,393649.94,7566644.98,203
1666,330958.80,7564764.42,353296.87,7577242.92,365519.97,7576576.38,204
1667,295186.60,7553966.10,330958.80,7564764.42,353296.87,7577242.92,205
1672,269073.26,7547780.67,295186.60,7553966.10,330958.80,7564764.42,206
1673,269073.26,7547780.67,269073.26,7547780.67,295186.60,7553966.10,206
1675,241193.72,7549255.83,253946.37,7543327.41,269073.26,7547780.67,208
1676,226338.70,7553158.31,241193.72,7549255.83,253946.37,7543327.41,209
